  Vessel_8    6206  7 11  19   3 191.7937500  -70.65417   42.84877  1.0 nan       84.0       15.0      0.229   4.88   0.12  2015
  Vessel_8    6206  7 12  12  58 192.5402778  -70.60986   42.77803  1.0 nan       80.0       18.0      0.121   4.95   0.18  2015
  Vessel_8    6206  7 12  16  22 192.6819444  -70.62239   42.88360  1.0 nan       77.0       26.0      0.127   5.19   0.30  2015
  Vessel_8    6206  7 12  18  50 192.7847222  -70.65741   42.83754  1.0 nan       86.0       16.0      0.086   5.01   0.12  2015
  Vessel_8    6206  7 13  13  30 193.5625000  -70.60091   42.86892  1.0 nan       84.0       28.0      0.146   5.08   0.28  2015
  Vessel_8    6206  7 13  17  34 193.7319444  -70.65213   42.82658  1.0 nan       81.0       19.0      0.152   5.16   0.23  2015
  Vessel_8    6206  7 15  11   2 195.4597222  -70.66709   42.81307  1.0 nan       71.0        8.0      0.045   5.53   0.11  2015
  Vessel_8    6206  7 15  13  10 195.5486111  -70.64260   42.85343  1.0 nan       77.0       18.0      0.056   5.42   0.21  2015
  Vessel_8    6206  7 15  15  35 195.6493056  -70.64694   42.85298  1.0 nan       78.0        6.0      0.071   5.37   0.12  2015
  Vessel_8    6206  7 16  10  51 196.4520833  -70.66271   42.79864  1.0 nan       71.0        9.0      0.034   5.65   0.20  2015
  Vessel_8    6206  7 16  12  13 196.5090278  -70.65514   42.83846  1.0 nan       75.0        4.0      0.039   5.50   0.12  2015
  Vessel_8    6206  7 17  10  28 197.4361111  -70.66039   42.79823  1.0 nan       72.0        5.0      0.031   5.62   0.12  2015
  Vessel_8    6206  7 17  11  35 197.4826389  -70.65604   42.83821  1.0 nan       72.0        2.0      0.031   5.60   0.07  2015
  Vessel_8    6206  7 17  13  14 197.5513889  -70.64825   42.77689  1.0 nan       76.0        5.0      0.054   5.47   0.10  2015
  Vessel_8    6206  7 17  15   2 197.6263889  -70.65752   42.83633  1.0 nan       77.0        6.0      0.055   5.44   0.12  2015
  Vessel_8    6206  7 19  10  41 199.4451389  -70.65550   42.79235  1.0 nan       72.0        6.0      0.036   5.70   0.15  2015
  Vessel_8    6206  7 19  12   4 199.5027778  -70.63846   42.77184  1.0 nan       72.0       10.0      0.047   5.71   0.10  2015
  Vessel_8    6206  7 19  13  32 199.5638889  -70.64344   42.82447  1.0 nan       75.0       13.0      0.048   5.60   0.14  2015
  Vessel_8    6206  7 19  15  44 199.6555556  -70.65874   42.82271  1.0 nan       76.0        9.0       0.07   5.53   0.08  2015
  Vessel_8    6206  7 20  10  56 200.4555556  -70.64814   42.78818  1.0 nan       73.0        5.0      0.046   5.50   0.12  2015
  Vessel_8    6206  7 20  12  15 200.5104167  -70.65812   42.83586  1.0 nan       77.0       11.0      0.042   5.41   0.07  2015
  Vessel_8    6206  7 20  13  55 200.5798611  -70.64351   42.78019  1.0 nan       76.0       10.0      0.056   5.45   0.09  2015
  Vessel_8    6206  7 20  15  27 200.6437500  -70.66078   42.83126  1.0 nan       75.0       14.0      0.047   5.50   0.15  2015
  Vessel_8    6206  7 21  10  56 201.4555556  -70.64456   42.78640  1.0 nan       76.0        7.0      0.047   5.46   0.14  2015
  Vessel_8    6206  7 21  12  29 201.5201389  -70.66024   42.83943  1.0 nan       77.0       16.0      0.051   5.43   0.08  2015
  Vessel_8    6206  7 21  14   2 201.5847222  -70.64900   42.78227  1.0 nan       76.0       10.0      0.053   5.46   0.11  2015
  Vessel_8    6206  7 21  15  57 201.6645833  -70.65016   42.84757  1.0 nan       76.0       12.0      0.066   5.44   0.07  2015
  Vessel_8    6206  7 22  11   4 202.4611111  -70.64595   42.78282  1.0 nan       76.0       12.0      0.049   5.52   0.15  2015
  Vessel_8    6206  7 22  12  35 202.5243056  -70.65859   42.83659  1.0 nan       76.0        7.0       0.05   5.53   0.08  2015
  Vessel_8    6206  7 22  14  10 202.5902778  -70.64134   42.78514  1.0 nan       76.0        9.0      0.051   5.53   0.14  2015
  Vessel_8    6206  7 22  15  38 202.6513889  -70.65404   42.83295  1.0 nan       77.0        5.0      0.046   5.49   0.06  2015
  Vessel_8    6206  7 23  10  55 203.4548611  -70.64741   42.78833  1.0 nan       78.0       12.0      0.045   5.52   0.13  2015
  Vessel_8    6206  7 23  12  26 203.5180556  -70.65404   42.83841  1.0 nan       77.0       10.0      0.049   5.56   0.14  2015
